emp_no,first_name,last_name,gender,to_date
11398,Oscar,Peir,M,9999-01-01
11404,Bedrich,Borovoy,M,9999-01-01
11415,Sanjiv,Anido,M,9999-01-01
11421,Josyula,Msuda,F,9999-01-01
11441,Marlo,Aingworth,M,9999-01-01
11449,Kotesh,Asser,M,9999-01-01
11459,Duke,Suomi,M,9999-01-01
11469,Guttorm,Giaccio,M,9999-01-01
11506,Rance,Picel,F,9999-01-01
11509,Aleksander,Feldhoffer,M,9999-01-01
11513,Otmar,Mahnke,M,9999-01-01
11515,Ulf,Basawa,F,9999-01-01
11518,Jinxi,Oxman,M,9999-01-01
11524,Xiadong,Standera,M,9999-01-01
11527,Alagu,Boyle,M,9999-01-01
11528,Zito,Dolinsky,M,9999-01-01
11537,DAIDA,Pehl,M,9999-01-01
11554,Subhash,Taubenfeld,M,9999-01-01
11555,Kotesh,Perfilyeva,M,9999-01-01
11567,Teiji,Mitzlaff,M,9999-01-01
11568,Martins,Fujisaki,M,9999-01-01
10126,Kayoko,Valtorta,M,9999-01-01
11603,Herb,Swen,F,9999-01-01
11607,Tomokazu,Foong,F,9999-01-01
11615,Shem,Isaak,F,9999-01-01
11624,Adil,Gammage,M,9999-01-01
11628,Fan,Malinowski,M,9999-01-01
11640,Valeri,Coorg,M,9999-01-01
11647,Magy,Nitsche,M,9999-01-01
11660,Gill,Stenning,F,9999-01-01
11673,Henk,Felder,F,9999-01-01
11676,Valeri,Ferriere,F,9999-01-01
11681,Fumitake,Benzmuller,F,9999-01-01
11684,Oksana,Gide,F,9999-01-01
11696,Dante,Rothe,M,9999-01-01
11732,Sanjoy,Ranft,F,9999-01-01
11735,Amalendu,Picci,M,9999-01-01
10129,Armond,Peir,M,9999-01-01
11746,Koichi,Marrakchi,F,9999-01-01
10130,Nishit,Casperson,M,9999-01-01
11751,Jiafu,Emiris,M,9999-01-01
11764,Sanjay,Anick,F,9999-01-01
11769,Chandrasekaran,Lampe,M,9999-01-01
11772,Gaurav,Penz,F,9999-01-01
10134,Diederik,Siprelle,M,9999-01-01
10138,Perry,Shimshoni,M,9999-01-01
11797,Chenxi,Thambidurai,M,9999-01-01
11810,Amabile,Bhattacharjee,M,9999-01-01
11817,Niranjan,Markovitch,M,9999-01-01
10150,Zhenbing,Perng,F,9999-01-01
11832,Arto,Zlotek,M,9999-01-01
11844,Shawna,Demeyer,M,9999-01-01
10153,Heekeun,Majewski,M,9999-01-01
11853,Zeljko,Kusakabe,F,9999-01-01
11857,Divier,Farrag,F,9999-01-01
11864,Pradeep,Kriebel,F,9999-01-01
11871,Nalini,Sommen,M,9999-01-01
11872,Cheong,Riexinger,M,9999-01-01
11894,Mitchel,Validov,M,9999-01-01
11897,Cordelia,Setlzner,M,9999-01-01
11906,Hideo,Boguraev,F,9999-01-01
11915,Miomir,Mawatari,M,9999-01-01
11931,Gunilla,Chiodo,F,9999-01-01
11933,Basil,Erman,M,9999-01-01
11949,Martijn,Harbusch,M,9999-01-01
11983,Jaana,Hedayat,M,9999-01-01
11993,Marit,Dalphin,M,9999-01-01
12011,Zhilian,Coorg,F,9999-01-01
12036,Mads,Ratzlaff,M,9999-01-01
12037,Arunas,Katzenelson,M,9999-01-01
12050,Yuchang,Tchuente,F,9999-01-01
12062,Margareta,Worfolk,M,9999-01-01
12069,Ayonca,Burnard,M,9999-01-01
12070,Ger,Shokrollahi,M,9999-01-01
12076,Karlis,Siprelle,F,9999-01-01
12082,Xinan,Yamaashi,M,9999-01-01
12089,Bilhanan,Socorro,M,9999-01-01
12099,Nobuyoshi,Kuzuoka,M,9999-01-01
12112,Satyanarayana,Avouris,M,9999-01-01
12122,Satoru,Krone,F,9999-01-01
12123,Xiahua,Syrzycki,F,9999-01-01
12125,Shounak,Erman,F,9999-01-01
12149,Suebskul,Grandbois,M,9999-01-01
12159,Shem,Perly,M,9999-01-01
12165,Xiaobin,Maquelin,F,9999-01-01
12183,Harngdar,Iisaku,M,9999-01-01
12192,Feiyu,Klyachko,F,9999-01-01
12205,Sushant,Rossi,M,9999-01-01
12206,Barton,Janetzko,F,9999-01-01
12218,Yaghout,Strooper,M,9999-01-01
12221,Vincent,Melter,M,9999-01-01
12222,Abdelwaheb,Holburn,F,9999-01-01
12223,Niteen,Koyama,F,9999-01-01
12247,Subbu,Penttonen,F,9999-01-01
12249,Eldridge,Sadowski,M,9999-01-01
12256,Guadalupe,Reghbati,F,9999-01-01
12264,Mart,Pagter,M,9999-01-01
12270,Shakhar,Kornyak,M,9999-01-01
12272,Behnaam,Grandbois,F,9999-01-01
12308,Mototsugu,Cronau,M,9999-01-01
12311,Susanne,Lubachevsky,M,9999-01-01
12327,DAIDA,Bruckman,M,9999-01-01
12341,Rasiah,Luga,M,9999-01-01
12343,Sorina,Slaats,M,9999-01-01
12365,Kamakshi,Bisiani,M,9999-01-01
12373,Mooi,Driscoll,F,9999-01-01
12395,Sanjit,Felder,M,9999-01-01
12399,Mihalis,Luga,M,9999-01-01
12411,Shao,Ibel,M,9999-01-01
12413,Hugh,Gadepally,F,9999-01-01
12417,Dannz,Spelt,F,9999-01-01
12422,Berhard,Demos,F,9999-01-01
12454,Kerryn,Farris,F,9999-01-01
12464,Shai,Milicic,F,9999-01-01
12475,Filipe,Roison,M,9999-01-01
12487,Mona,Reghbati,F,9999-01-01
12489,Arnould,Munck,F,9999-01-01
12490,Jackson,Muchinsky,F,9999-01-01
12497,Stein,Penz,M,9999-01-01
12501,Morrie,Matheson,F,9999-01-01
12504,Adly,Rosaz,F,9999-01-01
12514,Tomofumi,Melter,M,9999-01-01
12528,Conor,Cincotta,F,9999-01-01
12534,Yongmao,Gerlach,M,9999-01-01
12541,Shih,Nanard,M,9999-01-01
12542,Kazuhide,Bouloucos,F,9999-01-01
12551,Jeane,Tzvieli,M,9999-01-01
12553,Aral,Vesna,M,9999-01-01
12557,Stafford,Kopetz,M,9999-01-01
12589,Anoosh,Chleq,M,9999-01-01
12596,Breannda,Roisin,M,9999-01-01
12601,Ghassan,Simkin,M,9999-01-01
12608,Nectarios,Mondadori,M,9999-01-01
12635,Xinyu,Restivo,F,9999-01-01
12638,Yuqun,Seiwald,F,9999-01-01
12642,Suebskul,Gips,F,9999-01-01
12651,Pragnesh,Bael,M,9999-01-01
12662,Leucio,Alvarado,M,9999-01-01
12663,Nobuyoshi,Stellhorn,M,9999-01-01
12664,Zhonghua,Parveen,M,9999-01-01
12689,Luerbio,Boudaillier,M,9999-01-01
12691,Oddvar,Gils,M,9999-01-01
12697,Uri,Brizzi,M,9999-01-01
12709,Ronghao,Botman,M,9999-01-01
12717,Tzu,Jiafu,F,9999-01-01
12722,Elliott,Cheshire,F,9999-01-01
12726,Fumitake,Panwar,M,9999-01-01
12729,Nahla,Rahier,F,9999-01-01
12731,Yongmao,Waymire,F,9999-01-01
12732,Mara,Takanami,M,9999-01-01
12734,Gil,Frijda,M,9999-01-01
12755,Rildo,Rodite,F,9999-01-01
12773,Jenwei,Lovengreen,M,9999-01-01
12790,Gunilla,Perl,F,9999-01-01
12795,Masoud,Fordan,M,9999-01-01
12798,Lillian,Beeson,F,9999-01-01
12803,Gad,Boissier,M,9999-01-01
12815,Sushant,Junot,M,9999-01-01
12819,Mountaz,Gubsky,M,9999-01-01
12848,Kazuhide,Smeets,M,9999-01-01
12863,Leif,Matheson,M,9999-01-01
12872,Marl,Schmittgen,F,9999-01-01
12879,Baruch,Eugenio,M,9999-01-01
12890,Neven,Casley,F,9999-01-01
12893,Licheng,Crouzet,M,9999-01-01
12895,Roddy,Serot,M,9999-01-01
12905,Munehiro,Gecsei,M,9999-01-01
12926,Heekeun,Luby,M,9999-01-01
12940,Odinaldo,Farrar,F,9999-01-01
12941,Tommaso,Perelgut,F,9999-01-01
12949,Geoff,Asrin,F,9999-01-01
12977,Byong,Markovitch,M,9999-01-01
12983,Elliott,Hambrick,F,9999-01-01
13030,Yahiko,Kroll,M,9999-01-01
13046,Vivian,Stafford,M,9999-01-01
13047,Atilio,Chelton,M,9999-01-01
13075,Rosella,Morrin,M,9999-01-01
13076,Deniz,Skafidas,F,9999-01-01
13096,Ibibia,Armand,M,9999-01-01
13103,Srinidhi,Ellozy,F,9999-01-01
13124,Quingbo,Garnick,F,9999-01-01
13133,Guther,Senzako,M,9999-01-01
13134,Lorien,Chepyzhov,M,9999-01-01
13144,Persi,Nollmann,M,9999-01-01
13146,Haldon,Erie,M,9999-01-01
13147,Shichao,Ginesta,M,9999-01-01
13156,Akeel,Millington,M,9999-01-01
13165,Lucian,Benner,F,9999-01-01
13168,Munir,Stentiford,F,9999-01-01
13170,Cheong,Bernardeschi,M,9999-01-01
13171,Anoosh,Birnbaum,M,9999-01-01
13173,Arve,Horswill,M,9999-01-01
13179,Moty,Janocha,M,9999-01-01
13182,Kokou,Rodite,M,9999-01-01
13186,Kyoichi,Barbanera,M,9999-01-01
13192,Rosita,Flowers,M,9999-01-01
13202,Aram,Scharstein,F,9999-01-01
13210,Jianhua,Klassen,M,9999-01-01
13213,Hein,Billawala,M,9999-01-01
13232,Mitchel,Fujisaki,F,9999-01-01
13233,Alselm,Chvatal,M,9999-01-01
13238,Ebru,Foote,F,9999-01-01
13240,King,Pileggi,M,9999-01-01
13250,Zeydy,Schusler,M,9999-01-01
13272,Arun,Jiang,F,9999-01-01
13276,Yechiam,Seuren,M,9999-01-01
13288,Muneo,Broomell,F,9999-01-01
13291,Georg,Stamatiou,M,9999-01-01
13302,Mack,Alencar,F,9999-01-01
13315,Sakthirel,Stroustrup,F,9999-01-01
13332,Nidapan,Pearson,F,9999-01-01
13333,Yoshinari,Hennebert,M,9999-01-01
13341,Bodh,Doering,F,9999-01-01
13343,Heon,Usery,M,9999-01-01
13368,Kiyokazu,Klassen,M,9999-01-01
13371,Nakhoon,Riexinger,F,9999-01-01
13373,Juichirou,Naumovich,M,9999-01-01
13385,Claudi,Buchter,M,9999-01-01
13386,Khosrow,Sgarro,F,9999-01-01
13389,Divine,Cmelik,F,9999-01-01
13392,Fumitake,Beidas,F,9999-01-01
13396,Chuanyi,Aumann,F,9999-01-01
13402,Augustine,Dulli,M,9999-01-01
13405,Randy,Baba,F,9999-01-01
13407,Gio,Chenoweth,M,9999-01-01
13408,Sreekrishna,Lagarias,M,9999-01-01
13415,Nathalie,Speer,F,9999-01-01
13422,Vishwani,Gerlach,F,9999-01-01
13442,Giordano,Miake,M,9999-01-01
13443,Mayuko,Puppo,M,9999-01-01
13445,Renee,Dehkordi,M,9999-01-01
13451,Gretta,Weiland,M,9999-01-01
13457,Shooichi,Parfitt,M,9999-01-01
13458,Feipei,Nivat,F,9999-01-01
13463,Theron,Berstel,F,9999-01-01
13465,Sasan,Rehfuss,M,9999-01-01
13493,Uinam,Jullig,F,9999-01-01
13504,Parto,Mandell,F,9999-01-01
13524,Chaoyi,Porotnikoff,F,9999-01-01
13535,Arunas,Schlenzig,F,9999-01-01
13546,Aimee,Brookner,F,9999-01-01
13549,Matk,Koprowski,M,9999-01-01
13552,Ingmar,Capobianchi,M,9999-01-01
13576,Jungsoon,Engberts,F,9999-01-01
13605,Dmitry,Encarnacion,F,9999-01-01
13621,Fei,Haddadi,M,9999-01-01
13624,Zhigen,Yurek,M,9999-01-01
13629,Dzung,Trelles,M,9999-01-01
13648,Zejun,Lamba,F,9999-01-01
13653,Kristen,Iivonen,M,9999-01-01
13670,Moti,Takanami,F,9999-01-01
13680,Denny,Speer,M,9999-01-01
13685,Weicheng,Hockney,F,9999-01-01
13697,Shuichi,Weedon,M,9999-01-01
13704,Vishu,Kumaresan,F,9999-01-01
13721,Sugwoo,Delgrossi,F,9999-01-01
13727,Vitali,Merey,M,9999-01-01
13738,Bangqing,Mitchem,F,9999-01-01
13766,Tremaine,Heemskerk,M,9999-01-01
13769,Yakichi,Trogemann,F,9999-01-01
13775,Arve,Maierhofer,M,9999-01-01
13786,Takushi,Berendt,F,9999-01-01
13787,Xiaobin,Sinicrope,F,9999-01-01
13792,Valery,Sury,M,9999-01-01
13796,Paloma,Thorelli,M,9999-01-01
13809,Kiyotoshi,Basagni,M,9999-01-01
13815,Guadalupe,Plotkin,M,9999-01-01
13825,Arlette,Pell,M,9999-01-01
13841,Christophe,Spinelli,M,9999-01-01
13842,Juichirou,Cichocki,F,9999-01-01
13846,Guiseppe,Welham,M,9999-01-01
13853,Mingsen,Roohalamini,M,9999-01-01
13859,Anoosh,Fujisawa,M,9999-01-01
13884,Kensei,Swift,M,9999-01-01
13894,Ult,Schonegge,F,9999-01-01
13904,Youngkon,Cairo,M,9999-01-01
13934,Shiv,Bratsberg,F,9999-01-01
13942,Elzbieta,Esteva,M,9999-01-01
13951,Mooi,Genther,F,9999-01-01
13960,Nechama,Hettesheimer,M,9999-01-01
13962,Maris,Ghelli,M,9999-01-01
13966,Boguslaw,Cooman,F,9999-01-01
13969,Jianwen,Chandrasekhar,F,9999-01-01
13990,Deborah,Schapiro,F,9999-01-01
13992,Ulises,Kenevan,M,9999-01-01
13999,Florian,Crouzet,M,9999-01-01
14005,Vojin,Stellhorn,M,9999-01-01
14015,Manibrata,Picaronny,M,9999-01-01
14034,Aloys,Seghrouchni,M,9999-01-01
14041,Shan,DeMori,F,9999-01-01
14067,Godehard,Trachtenberg,M,9999-01-01
14088,Mori,Leslie,M,9999-01-01
14107,Xiahua,Rindone,M,9999-01-01
14111,Leszek,Cummings,F,9999-01-01
14118,Kasturi,Anido,M,9999-01-01
14167,Adas,Hertweck,F,9999-01-01
14191,Jiann,Luby,F,9999-01-01
14209,Masanao,Kusakabe,F,9999-01-01
14220,Tomofumi,Pargas,F,9999-01-01
14232,Masali,Bojadziev,M,9999-01-01
14236,Xuedong,Angiulli,F,9999-01-01
14237,Abdulla,Gerlach,F,9999-01-01
14242,Sudhanshu,Benaini,F,9999-01-01
14257,Kwok,Massonet,F,9999-01-01
14290,Miyeon,Olivero,M,9999-01-01
14292,Susanna,Vigier,F,9999-01-01
14298,Chriss,Granlund,F,9999-01-01
14310,Marlo,Leuchs,M,9999-01-01
14320,Sreenivas,Schaar,M,9999-01-01
14322,Shem,Kakkad,M,9999-01-01
14323,Golgen,Leslie,F,9999-01-01
14340,Vitaly,Wixon,M,9999-01-01
14344,Otilia,Buescher,F,9999-01-01
14354,Mong,Bojadziev,M,9999-01-01
14360,Janche,Erbe,M,9999-01-01
14372,Saniya,Srimani,F,9999-01-01
14384,Tomofumi,Holburn,F,9999-01-01
14422,Toshimo,Gadepally,M,9999-01-01
14434,Elvis,Maginnis,M,9999-01-01
14439,Raimond,Woycyznski,M,9999-01-01
14460,Yagil,Lueh,F,9999-01-01
14478,Munehiro,Boissier,F,9999-01-01
14481,Moti,Lammel,M,9999-01-01
14483,Supot,Marrevee,M,9999-01-01
14486,Indrajit,Birdsall,M,9999-01-01
14498,Xiong,Selenyi,M,9999-01-01
14501,Taizo,Kroft,M,9999-01-01
14509,Danil,Aloia,M,9999-01-01
14513,Samphel,Barreiro,M,9999-01-01
14515,Kazuhisa,Versino,F,9999-01-01
14516,Kristian,Underwood,F,9999-01-01
14518,Patricia,Peir,M,9999-01-01
14522,Chuanyi,Ranta,F,9999-01-01
14537,Babette,Engelmann,F,9999-01-01
14552,Ibibia,Snyers,M,9999-01-01
14556,Fatemeh,Zultner,M,9999-01-01
14560,Elrique,Driscoll,M,9999-01-01
14581,Gao,Condotta,F,9999-01-01
14582,Kiyokazu,Morrin,M,9999-01-01
14600,Jayson,Cairo,F,9999-01-01
14603,Lech,Marquardt,M,9999-01-01
14607,Suzette,Selvestrel,M,9999-01-01
14620,Jianhua,Erev,F,9999-01-01
14621,Souichi,Wixon,F,9999-01-01
14632,Gudjon,McClurg,M,9999-01-01
14639,Arvind,Hempstead,F,9999-01-01
14640,Toshimori,Kornatzky,M,9999-01-01
14642,Florian,Kuhnemann,F,9999-01-01
14645,Laurentiu,Glinert,F,9999-01-01
14648,IEEE,Lorys,M,9999-01-01
14659,Sashi,Adachi,F,9999-01-01
14675,Teunis,Angel,F,9999-01-01
14677,Herbert,Sifakis,M,9999-01-01
14683,Alois,Basart,M,9999-01-01
14690,Yechezkel,Bellone,F,9999-01-01
14693,Brewster,Stranks,F,9999-01-01
14710,Mahmut,Hainaut,F,9999-01-01
14723,Constantino,Assaf,M,9999-01-01
14724,Aron,Lemarechal,M,9999-01-01
14780,Marlo,Bruckman,F,9999-01-01
14785,Zhonghua,Kaiser,M,9999-01-01
14793,Stein,Uchoa,M,9999-01-01
14814,Odysseas,Nishimukai,M,9999-01-01
14817,Gaurav,Masaki,M,9999-01-01
14821,Oguz,Kilgore,M,9999-01-01
14839,Changho,Cronin,M,9999-01-01
14853,Taiji,Nergos,F,9999-01-01
14877,Arto,Meriste,M,9999-01-01
14879,Anyuan,Sigstam,M,9999-01-01
14888,Temple,Barriga,F,9999-01-01
14899,Alejandro,Casley,M,9999-01-01
14906,Adil,Parveen,F,9999-01-01
14908,Kerhong,Flanders,F,9999-01-01
14909,Mohan,Kamble,M,9999-01-01
14911,Xiaobin,Chelton,F,9999-01-01
14914,Gretta,Benzaken,F,9999-01-01
14915,Huican,Picco,M,9999-01-01
14923,Shuzo,Gyorkos,M,9999-01-01
14928,Satoru,Mukaidono,F,9999-01-01
14941,Nathan,Lichtner,M,9999-01-01
14942,Heon,Benveniste,M,9999-01-01
14949,Insup,Reinhart,F,9999-01-01
14954,Fox,Magliocco,F,9999-01-01
14971,Fan,Simmen,M,9999-01-01
14983,Hyuckchul,Pouyioutas,M,9999-01-01
14993,Sanjay,Koblitz,M,9999-01-01
15005,Kiam,Sadowsky,M,9999-01-01
15016,Woody,Gulik,F,9999-01-01
15018,Ramalingam,Prenel,F,9999-01-01
15019,Qingxiang,Shokrollahi,F,9999-01-01
15029,Giordano,Koshino,M,9999-01-01
15030,Rasikan,Nourani,M,9999-01-01
15036,Ziva,Delgrande,M,9999-01-01
15049,Khun,Waymire,F,9999-01-01
15052,Flemming,Kranzdorf,M,9999-01-01
15055,Shrikanth,Sherertz,M,9999-01-01
15066,Tomokazu,Oaver,M,9999-01-01
15069,Manton,Siksek,M,9999-01-01
15071,Ayonca,Couchot,F,9999-01-01
15075,Radoslaw,Rijsenbrij,M,9999-01-01
15077,Toshiki,Taubenfeld,F,9999-01-01
15082,Guadalupe,Zirintsis,F,9999-01-01
15087,Chirstian,Ushiama,F,9999-01-01
15089,Giri,Coney,F,9999-01-01
15092,Remmert,Bahi,F,9999-01-01
15102,Luigi,Axelband,F,9999-01-01
15105,Sudhanshu,Itzigehl,M,9999-01-01
15114,Pantung,Honglei,M,9999-01-01
15134,Arun,Luiz,F,9999-01-01
15145,Haldon,Servieres,M,9999-01-01
15151,Urs,Pouyioutas,F,9999-01-01
15176,Charlene,Sankaranarayanan,M,9999-01-01
15193,Neelam,Schach,M,9999-01-01
15196,Souichi,Duclos,M,9999-01-01
15202,Pranay,Irland,M,9999-01-01
15208,Sudharsan,Shokrollahi,F,9999-01-01
15218,Shuky,Conry,M,9999-01-01
15228,Mona,Salvesen,M,9999-01-01
15230,Keiichiro,Suessmith,F,9999-01-01
15234,Jouko,Zhiwei,F,9999-01-01
15237,Reinhard,Sadowsky,M,9999-01-01
15243,Mountaz,Famili,F,9999-01-01
15248,Edwin,Baar,M,9999-01-01
15253,Ayonca,Pardalos,M,9999-01-01
15269,Eric,Reghbati,F,9999-01-01
15271,Shiv,Bernardeschi,F,9999-01-01
15292,Miyeon,Lammel,M,9999-01-01
15324,Ziya,Lunn,M,9999-01-01
15329,Fan,Openshaw,F,9999-01-01
15330,Jaroslava,Chinal,M,9999-01-01
15337,Masaru,Radivojevic,M,9999-01-01
15343,Chaosheng,Luce,F,9999-01-01
15354,Chikara,Nyrup,M,9999-01-01
15365,Mikhail,Schiettecatte,M,9999-01-01
15369,Premal,Penttonen,F,9999-01-01
15370,Chuanyi,Nilsson,F,9999-01-01
15372,Nahum,Broder,M,9999-01-01
15375,Shuho,Manders,F,9999-01-01
15377,Shugo,Aumann,M,9999-01-01
15382,Alassane,Siegrist,M,9999-01-01
15392,Pradeep,Markovitch,M,9999-01-01
15408,Maik,Penttonen,F,9999-01-01
15410,Wilmer,Kushner,F,9999-01-01
15412,Huai,Thiria,M,9999-01-01
15438,Constantijn,Munoz,F,9999-01-01
15441,Arvind,Weisert,F,9999-01-01
15452,Kazuhira,Weedman,M,9999-01-01
15454,Hongzue,Cesareni,F,9999-01-01
15470,Weiwu,Huhdanpaa,M,9999-01-01
15474,Gilbert,Plumb,M,9999-01-01
15479,Zhenbing,Soicher,M,9999-01-01
15480,Kwok,Trogemann,M,9999-01-01
15504,Kasturi,Alpin,M,9999-01-01
15505,Collette,Mikschl,F,9999-01-01
15510,Inderjeet,Sethi,M,9999-01-01
15511,George,Kowalchuk,F,9999-01-01
15518,Uno,Valtorta,F,9999-01-01
15525,Masadi,Cherinka,M,9999-01-01
15534,Guozhong,Grabner,F,9999-01-01
15543,Mingdong,Staelin,F,9999-01-01
15548,Sanjai,Caine,M,9999-01-01
15563,Constantino,Zykh,M,9999-01-01
15565,True,Muchinsky,M,9999-01-01
15566,Baoqiu,Azuma,M,9999-01-01
15600,Mack,Perna,M,9999-01-01
15601,Carrsten,Anily,F,9999-01-01
15651,Huan,Iwayama,F,9999-01-01
